time,name,type,rarity,banner
2021-04-13 20:23:02,Sacrificial Greatsword,Weapon,4,Permanent Wish
2021-04-13 20:20:46,Emerald Orb,Weapon,3,Permanent Wish
2021-04-13 20:20:42,Black Tassel,Weapon,3,Permanent Wish
2021-04-13 20:20:36,Skyrider Sword,Weapon,3,Permanent Wish
2021-04-13 20:20:31,Sucrose,Character,4,Permanent Wish
2021-04-13 20:20:24,Ferrous Shadow,Weapon,3,Permanent Wish
2021-04-06 07:33:20,Sacrificial Fragments,Weapon,4,Character Event Wish
2021-04-06 07:33:20,Noelle,Character,4,Character Event Wish
2021-04-06 07:33:20,Raven Bow,Weapon,3,Character Event Wish
2021-04-06 07:33:20,Raven Bow,Weapon,3,Character Event Wish
2021-04-06 07:33:20,Slingshot,Weapon,3,Character Event Wish
2021-04-06 07:33:20,Harbinger of Dawn,Weapon,3,Character Event Wish
2021-04-06 07:33:20,Black Tassel,Weapon,3,Character Event Wish
2021-04-06 07:33:20,Slingshot,Weapon,3,Character Event Wish
2021-04-06 07:33:20,Debate Club,Weapon,3,Character Event Wish
2021-04-06 07:33:20,Cool Steel,Weapon,3,Character Event Wish
2021-04-05 16:50:27,Skyrider Sword,Weapon,3,Character Event Wish
2021-04-05 16:50:27,Razor,Character,4,Character Event Wish
2021-04-05 16:50:27,Ferrous Shadow,Weapon,3,Character Event Wish
2021-04-05 16:50:27,Harbinger of Dawn,Weapon,3,Character Event Wish
2021-04-05 16:50:27,Harbinger of Dawn,Weapon,3,Character Event Wish
2021-04-05 16:50:27,Magic Guide,Weapon,3,Character Event Wish
2021-04-05 16:50:27,Bloodtainted Greatsword,Weapon,3,Character Event Wish
2021-04-05 16:50:27,Emerald Orb,Weapon,3,Character Event Wish
2021-04-05 16:50:27,Black Tassel,Weapon,3,Character Event Wish
2021-04-05 16:50:27,Raven Bow,Weapon,3,Character Event Wish
2021-04-01 12:19:15,Cool Steel,Weapon,3,Permanent Wish
2021-04-01 12:19:15,Cool Steel,Weapon,3,Permanent Wish
2021-04-01 12:19:15,Noelle,Character,4,Permanent Wish
2021-04-01 12:19:15,Skyrider Sword,Weapon,3,Permanent Wish
2021-04-01 12:19:15,Magic Guide,Weapon,3,Permanent Wish
2021-04-01 12:19:15,Ferrous Shadow,Weapon,3,Permanent Wish
2021-04-01 12:19:15,Cool Steel,Weapon,3,Permanent Wish
2021-04-01 12:19:15,Ferrous Shadow,Weapon,3,Permanent Wish
2021-04-01 12:19:15,Magic Guide,Weapon,3,Permanent Wish
2021-04-01 12:19:15,Harbinger of Dawn,Weapon,3,Permanent Wish
2021-03-22 09:50:12,Razor,Character,4,Character Event Wish
2021-03-22 09:50:12,Harbinger of Dawn,Weapon,3,Character Event Wish
2021-03-22 09:50:12,Cool Steel,Weapon,3,Character Event Wish
2021-03-22 09:50:12,Emerald Orb,Weapon,3,Character Event Wish
2021-03-22 09:50:12,Raven Bow,Weapon,3,Character Event Wish
2021-03-22 09:50:12,Black Tassel,Weapon,3,Character Event Wish
2021-03-22 09:50:12,Ferrous Shadow,Weapon,3,Character Event Wish
2021-03-22 09:50:12,Emerald Orb,Weapon,3,Character Event Wish
2021-03-22 09:50:12,Magic Guide,Weapon,3,Character Event Wish
2021-03-22 09:50:12,Rainslasher,Weapon,4,Character Event Wish
2021-03-22 09:49:25,Skyrider Sword,Weapon,3,Character Event Wish
2021-03-22 09:49:25,Magic Guide,Weapon,3,Character Event Wish
2021-03-22 09:49:25,Black Tassel,Weapon,3,Character Event Wish
2021-03-22 09:49:25,Emerald Orb,Weapon,3,Character Event Wish
2021-03-22 09:49:25,Bloodtainted Greatsword,Weapon,3,Character Event Wish
2021-03-22 09:49:25,Harbinger of Dawn,Weapon,3,Character Event Wish
2021-03-22 09:49:25,Thrilling Tales of Dragon Slayers,Weapon,3,Character Event Wish
2021-03-22 09:49:25,Magic Guide,Weapon,3,Character Event Wish
2021-03-22 09:49:25,Sharpshooter's Oath,Weapon,3,Character Event Wish
2021-03-22 09:49:25,Noelle,Character,4,Character Event Wish
2021-03-22 09:49:13,Raven Bow,Weapon,3,Character Event Wish
2021-03-22 09:49:13,Thrilling Tales of Dragon Slayers,Weapon,3,Character Event Wish
2021-03-22 09:49:13,Magic Guide,Weapon,3,Character Event Wish
2021-03-22 09:49:13,Black Tassel,Weapon,3,Character Event Wish
2021-03-22 09:49:13,Skyrider Sword,Weapon,3,Character Event Wish
2021-03-22 09:49:13,Emerald Orb,Weapon,3,Character Event Wish
2021-03-22 09:49:13,Sharpshooter's Oath,Weapon,3,Character Event Wish
2021-03-22 09:49:13,Slingshot,Weapon,3,Character Event Wish
2021-03-22 09:49:13,Sucrose,Character,4,Character Event Wish
2021-03-22 09:49:13,Cool Steel,Weapon,3,Character Event Wish
2021-03-20 22:21:35,Black Tassel,Weapon,3,Character Event Wish
2021-03-20 22:21:35,Magic Guide,Weapon,3,Character Event Wish
2021-03-20 22:21:35,Bloodtainted Greatsword,Weapon,3,Character Event Wish
2021-03-20 22:21:35,Emerald Orb,Weapon,3,Character Event Wish
2021-03-20 22:21:35,Sharpshooter's Oath,Weapon,3,Character Event Wish
2021-03-20 22:21:35,Black Tassel,Weapon,3,Character Event Wish
2021-03-20 22:21:35,Black Tassel,Weapon,3,Character Event Wish
